Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,44.89889053897279,36.9229162219676,1683.356112898587,590.6626829197485
oberved,0.01,38.07817729094121,36.964501391808085,1673.8002841355133,586.8213543886086
oberved,0.02,28.410864581636353,37.097761444535244,1656.589506982858,579.1185534683979
oberved,0.03,26.17411232408946,37.155364265250114,1639.763884103938,564.7035141795999
oberved,0.04,23.47614053241557,37.26058179165648,1632.9924238377534,559.048645069444
oberved,0.05,23.071770416079367,37.279869528035476,1624.0499228375706,552.9140112594059
oberved,0.06,20.826161579067477,37.417934719900956,1591.5917329494052,526.5410328396266
oberved,0.07,20.14724772126459,37.46495813860223,1576.6214599773882,516.541007292999
oberved,0.08,19.09991879398223,37.547720597157976,1546.3852634023108,492.54999027748505
oberved,0.09,18.40584166937785,37.61289657741888,1522.6433902972137,474.5414996456706
oberved,0.1,18.146174599694312,37.640103240560876,1512.235785482201,468.11723841339864
oberved,0.11,17.772834244151802,37.68348399206602,1494.969534626294,456.1143623036295
oberved,0.12,17.55096833187195,37.712516607706554,1480.3864519763501,446.3278008976832
oberved,0.13,17.409615000087438,37.73268450025417,1471.0041844611626,442.69727286979224
oberved,0.14,16.955347068394722,37.8034150591469,1428.7642601223647,411.2812712695315
oberved,0.15,16.81828393402454,37.82659968216754,1416.6191520059622,403.4306415518701
oberved,0.16,16.70703116009204,37.84692244418508,1408.4097589625944,399.46889846964217
oberved,0.17,16.250835502682094,37.9388447286094,1387.6433931141376,394.2245096614534
oberved,0.18,16.19242811080653,37.95128869399977,1382.0836809391935,391.48490716823954
oberved,0.19,16.133525318595822,37.96462814154364,1374.8696721456502,386.722821801115
oberved,0.2,15.857792545722994,38.02995352622897,1330.3751667141942,356.8221093941228
oberved,0.21,15.816357524378855,38.040703579971854,1326.2853707657653,355.20122587430853
oberved,0.22,15.598729690248376,38.10030103438373,1291.732590673148,339.56960319845655
oberved,0.23,15.530037249272024,38.12023845221401,1280.935268069974,334.9906304779337
oberved,0.24,15.360827190567878,38.171580138895195,1252.912711368164,326.76984497089416
oberved,0.25,15.192958851294417,38.22646793684649,1221.4683443089395,308.8529165270402
oberved,0.26,15.137196483029108,38.24552110210148,1212.8113790125012,304.6722830803852
oberved,0.27,15.109763782168276,38.255405870713034,1209.3501049645338,303.68563424783815
oberved,0.28,15.084373717475291,38.265034739171796,1205.9488480562286,302.72911852627556
oberved,0.29,15.0538193642736,38.27724388616862,1200.8479305612932,300.17677148726887
oberved,0.3,14.90031117472931,38.34145417513895,1160.024892852374,275.3451705996991
oberved,0.31,14.871263544052507,38.35423911700319,1154.9867637812292,273.2469795073697
oberved,0.32,14.833845522205475,38.37147861715218,1145.6625753253063,268.7383169585024
oberved,0.33,14.789071461382807,38.393033451928886,1133.0152717770814,262.41962067179094
oberved,0.34,14.743769039265612,38.415870004868566,1119.7429505343046,256.09453757034015
oberved,0.35,14.67584714099523,38.451542424657205,1096.6047711815754,245.18530717219835
oberved,0.36,14.630074518988732,38.47674263430308,1081.9915038594556,239.0025309371899
oberved,0.37,14.59258688715585,38.498296261699295,1071.2310347746586,235.41887936414076
oberved,0.38,14.534471582441572,38.53330147852687,1049.8783802486382,227.05380248960074
oberved,0.39,14.488539817053628,38.56204563008969,1034.2039571287205,221.1519969250501
oberved,0.4,14.448418014181296,38.58823824157091,1020.0375094259957,215.7254193130745
oberved,0.41,14.335258726032551,38.665821848621995,967.2897068824917,193.61618624398835
oberved,0.42,14.299735513577613,38.69101288558018,953.2443895390759,188.92486872502343
oberved,0.43,14.277213471465966,38.70763058563107,945.1693117292082,186.32200153766703
oberved,0.44,14.265110475315954,38.716948034942675,942.8919356031618,185.898612257131
oberved,0.45,14.25187040398091,38.72758467251018,939.5974961017527,185.11594622777386
oberved,0.46,14.234814448021822,38.74180740590721,932.8425270980023,183.0689534481077
oberved,0.47,14.212900330163912,38.760854175184924,921.6975294318711,179.2852470370282
oberved,0.48,14.193315035447526,38.77856073229815,910.8935097656453,175.62831476621437
oberved,0.49,14.175665172088202,38.79518128220606,900.3995788440217,172.11175501490186
