Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
oberved,0.0,59.573559620464906,49.78395187474467,7538.467306174177,3438.2536304845275
oberved,0.01,58.44130032244111,49.78784676470417,7543.924206629392,3442.0631882768735
oberved,0.02,47.069863373575316,49.9477407680515,7499.715420620197,3412.214404038359
oberved,0.03,43.95514840046022,50.036303447600154,7498.516031918487,3411.66177504084
oberved,0.04,43.08132518408455,50.067718157357085,7494.239213592503,3409.462922821339
oberved,0.05,42.260665908101814,50.105996850813305,7473.030083962809,3395.587778041476
oberved,0.06,39.6870553005201,50.25023628082373,7448.468332182663,3381.2561397226395
oberved,0.07,39.432226154886074,50.267922711037855,7435.677413987055,3373.3002387296956
oberved,0.08,39.18459731848313,50.28807125469007,7430.965120779808,3370.979618228653
oberved,0.09,38.79000060781952,50.32414637345183,7417.142263684717,3363.474010684607
oberved,0.1,38.47504164467717,50.35701951472068,7399.078053244501,3353.232667696539
oberved,0.11,38.320732966271095,50.374944684615876,7393.920747792115,3350.6290762623557
oberved,0.12,38.219814774546734,50.388169319866634,7389.220404939317,3348.1648712984183
oberved,0.13,37.73300544439155,50.45738376829303,7292.608768799254,3290.9481980798564
oberved,0.14,37.44920179729928,50.501532956320716,7236.010127210731,3259.58233951471
oberved,0.15,37.224880393582545,50.53954758333475,7184.602682939113,3232.7918116721726
oberved,0.16,37.072237459962565,50.56745742646685,7139.623077625059,3210.580337843938
oberved,0.17,36.82733772758198,50.61596887613762,7037.051465793436,3165.0845466714068
oberved,0.18,36.67956395992728,50.647323428219615,6990.83550766727,3145.8741809978064
oberved,0.19,36.46678760831699,50.6952176340964,6937.392396396231,3123.165463567996
oberved,0.2,36.37913462459316,50.7164426095195,6922.551811736157,3115.9357187500364
oberved,0.21,36.311836965236395,50.733729855477236,6910.700668083682,3110.2759226124303
oberved,0.22,36.256376354842246,50.74904960908217,6903.437979622889,3106.8945971241337
oberved,0.23,36.17884944861501,50.77156162663993,6882.564451849907,3096.738786491609
oberved,0.24,36.083982764407345,50.80076796639374,6858.061831439061,3085.8855785752908
oberved,0.25,35.906902838305626,50.858140532037396,6799.657887455869,3060.505265403805
oberved,0.26,35.812231122182354,50.89053780492876,6776.292859453708,3050.5082438786835
oberved,0.27,35.709521112586515,50.92750399145329,6747.57011098389,3037.722273196872
oberved,0.28,35.601615763975715,50.96849930310973,6726.7023516108775,3015.4924754207714
