Model,Alpha,Wiring Cost,Conduction Delay,Total Orthogonal Distance,Total Squared Orthogonal Distance
observed,0.0,22.96218406531235,13.448728043351224,3288.6597514514897,1683.391027819275
observed,0.01,22.4750647708738,13.45268926132417,3188.4161737357817,1578.3219906901782
observed,0.02,22.149012244720065,13.457978963221738,3131.3517981030136,1570.3725238101053
observed,0.03,22.149012244720065,13.457978963221738,3131.3517981030136,1570.3725238101053
observed,0.04,22.149012244720065,13.457978963221738,3131.3517981030136,1570.3725238101053
observed,0.05,22.149012244720065,13.457978963221738,3131.3517981030136,1570.3725238101053
observed,0.06,22.149012244720065,13.457978963221738,3131.3517981030136,1570.3725238101053
observed,0.07,22.149012244720065,13.457978963221738,3131.3517981030136,1570.3725238101053
observed,0.08,22.149012244720065,13.457978963221738,3131.3517981030136,1570.3725238101053
observed,0.09,22.149012244720065,13.457978963221738,3131.3517981030136,1570.3725238101053
observed,0.1,21.799922785630308,13.492777895513369,3090.666409276394,1566.2829042470291
observed,0.11,21.799922785630308,13.492777895513369,3090.666409276394,1566.2829042470291
observed,0.12,21.799922785630308,13.492777895513369,3090.666409276394,1566.2829042470291
observed,0.13,21.799922785630308,13.492777895513369,3090.666409276394,1566.2829042470291
observed,0.14,21.789178493910633,13.494518090763455,3084.135912004862,1564.7283632408748
observed,0.15,21.706297098043247,13.50856498784621,3033.3724937188344,1553.9418100657545
observed,0.16,21.631586450854208,13.522261576800155,2990.0360320052987,1546.4204728333148
observed,0.17,21.563823764628985,13.535645106174163,2959.972269031464,1541.8943910427706
observed,0.18,21.51909272568716,13.545043077750723,2947.7760573823853,1540.3872016806044
observed,0.19,21.50480952366655,13.54828397194305,2946.9011996825798,1540.3334914870336
observed,0.2,21.491664890088526,13.551466915783484,2946.144057927657,1540.2890624427528
observed,0.21,21.47952142357095,13.55459721203505,2945.526768254411,1540.2533369896596
observed,0.22,21.468263904307168,13.5576795473521,2945.0613536679284,1540.2257937374584
observed,0.23,21.45779489865454,13.56071809041444,2944.787492426747,1540.205967196057
observed,0.24,21.448031383062734,13.563716570978322,2944.9495374401267,1540.1934351577227
observed,0.25,21.43890211931361,13.566678344191043,2945.421213860178,1540.1878130927184
observed,0.26,21.43034559119605,13.569606443392985,2945.944519922401,1540.188750354997
observed,0.27,21.422308366031675,13.572503623829936,2946.5233285192726,1540.195924725655
observed,0.28,21.414743781420498,13.575372399118496,2947.162700752883,1540.2090390714725
observed,0.29,21.40761088359278,13.578215071882035,2947.8677985289305,1540.2278176512568
observed,0.3,21.40087356233019,13.581033759658558,2948.6467133047004,1540.2520103788975
observed,0.31,21.39449984085642,13.583830416944362,2949.506290626774,1540.2813754845586
observed,0.32,21.388461288934035,13.586606854057136,2950.4564882761842,1540.3156931274061
observed,0.33,21.382732534685577,13.589364753363856,2951.50650799458,1540.3547561794564
observed,0.34,21.377290856102682,13.592105683311901,2952.5888211803467,1540.398370176525
observed,0.35000000000000003,21.37211583731985,13.594831110618308,2953.656300065544,1540.446352006252
observed,0.36,21.36718907786316,13.59754241090647,2954.7094241276245,1540.4985291715248
observed,0.37,21.362493945492943,13.600240878027494,2955.7486474548327,1540.5547383749201
observed,0.38,21.35801536512494,13.602927732261957,2956.7744263441136,1540.6148252880448
observed,0.39,21.332557651284034,13.618889714550132,2962.0690506703195,1540.4108223733524
observed,0.4,21.306074692851652,13.636178514938788,2984.7571760858136,1541.4429383632264
observed,0.41000000000000003,21.280751961090996,13.653413349094205,3011.9602559493774,1543.764789322186
observed,0.42,21.256521874603912,13.670600639629306,3044.962201068345,1547.3401487496858
observed,0.43,21.23332246750718,13.687746520572517,3080.4374114731845,1552.1344019702756
observed,0.44,21.223152789561023,13.695508147836403,3093.82573187152,1554.1682732790398
observed,0.45,21.219866314081646,13.698143035856354,3094.76737713734,1554.2517617399058
observed,0.46,21.21671451745374,13.700774146638409,3095.6982020298847,1554.3381271458493
observed,0.47000000000000003,21.213690516862215,13.70340228562499,3096.6184521953273,1554.4272666423185
observed,0.48,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.49,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.5,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.51,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.52,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.53,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.54,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.55,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.56,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.5700000000000001,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.58,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.59,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.6,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.61,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.62,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.63,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.64,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.65,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.66,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.67,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.68,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.6900000000000001,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.7000000000000001,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.71,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.72,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.73,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.74,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.75,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.76,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.77,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.78,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.79,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.8,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.81,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.8200000000000001,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.8300000000000001,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.84,21.213050769444735,13.70397208213548,3096.81670529279,1554.4469596972635
observed,0.85,21.21256273016371,13.70663292071833,3097.19803668837,1554.4637761395354
observed,0.86,21.212106800045266,13.709321255947394,3097.615826563233,1554.4820028342147
observed,0.87,21.211684128153596,13.712029407231382,3098.070919437496,1554.5015775030802
observed,0.88,21.21129431491616,13.71475802069326,3098.536020375929,1554.5224885977168
observed,0.89,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.9,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.91,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.92,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.93,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.9400000000000001,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.9500000000000001,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.96,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.97,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.98,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,0.99,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
observed,1.0,21.211018556148044,13.716855731999566,3098.8901664989753,1554.5393487362353
